"who_retweet","who_post","weight"
"str_114944050","str_2906574983",1
"str_114944050","str_20644994",2
"str_114944050","str_3313812382",1
"str_114944050","str_70591921",1
"str_1150056047324860416","str_19183709",1
"str_1150056047324860416","str_282783586",2
"str_1150056047324860416","str_303397026",1
"str_1150056047324860416","str_735888005894836225",27
"str_1151193895054794752","str_3242677586",1
"str_1151690441324212229","str_751075331801485313",1
"str_1152751316","str_1077365580",1
"str_1152751316","str_22925350",1
"str_1152751316","str_28696353",4
"str_1152751316","str_61871092",1
"str_1152751316","str_755872938084147200",11
"str_1152751316","str_990085837",1
"str_1154578244","str_109901017",1
"str_1154578244","str_15117083",2
"str_1154578244","str_15663169",1
"str_1154578244","str_21836759",1
"str_1154578244","str_22481727",7
"str_1154578244","str_297055411",4
"str_1154578244","str_31277613",2
"str_1154578244","str_42854756",1
"str_1154578244","str_879458616939556864",4
"str_1154578244","str_905115883793731585",3
"str_1154578244","str_906151840487788547",1
"str_1154694362","str_265642432",2
"str_1154694362","str_2906574983",1
"str_1155528536","str_61871092",1
"str_115576195","str_16785950",1
"str_115576195","str_22524908",3
"str_115792599","str_43038546",2
"str_1158861477870231554","str_1109801413331292161",1
"str_1159537726523240448","str_36726020",2
"str_1162202610","str_1110204212",1
"str_1162202610","str_145145693",4
"str_1162202610","str_15986586",2
"str_1162202610","str_376444395",1
"str_1162202610","str_49246546",2
"str_1164597217988161536","str_1205541642",1
"str_1164597217988161536","str_40327767",1
"str_1164782162","str_268313339",4
"str_1164782162","str_28656296",2
"str_1164782162","str_3082718509",1
"str_1164782162","str_318147943",2
"str_1164782162","str_434956607",15
"str_1164782162","str_715623359631896576",1
"str_1164782162","str_9486482",5
"str_116496709","str_126456854",1
"str_116496709","str_153645335",2
"str_116496709","str_159633273",13
"str_116496709","str_18361437",1
"str_116496709","str_25241040",1
"str_116496709","str_262794246",2
"str_116496709","str_2917685440",2
"str_116496709","str_30380250",2
"str_116496709","str_3195934863",1
"str_116496709","str_32962571",4
"str_116496709","str_37052689",2
"str_116496709","str_37727891",4
"str_116496709","str_4271386823",1
"str_116496709","str_5507352",1
"str_116496709","str_82240115",1
"str_116530493","str_600663197",6
"str_116582145","str_24435205",1
"str_116588914","str_234520842",1
"str_116588914","str_246283063",3
"str_116588914","str_2927384962",5
"str_1166032633563942919","str_21512279",1
"str_1166779962994626560","str_21534627",2
"str_1169101250","str_1364892560",1
"str_1169101250","str_2724615260",2
"str_1169365916620152832","str_1077365580",1
"str_1171980516649820160","str_1004815933670678529",2
"str_117274716","str_234520842",1
"str_117274716","str_451147000",2
"str_1173174325","str_14801813",2
"str_117513421","str_246283063",45
"str_117513421","str_2927384962",10
"str_117513421","str_806518765877858304",1
"str_1176875535340904450","str_17327933",1
"str_1176875535340904450","str_28696353",2
"str_1176875535340904450","str_755872938084147200",2
"str_1176875535340904450","str_990085837",1
"str_117743669","str_119590900",1
"str_117743669","str_139593662",4
"str_117743669","str_1661203730",1
"str_117743669","str_2149261981",6
"str_117743669","str_2328050107",5
"str_117743669","str_2906574983",3
"str_117743669","str_30768622",1
